gene_id,type,c1,c2,start,end
Mir466n,Normal,2,2,10513741,10513834
Gm22491,Normal,3,3,58975630,58975731
Gm26045,Normal,14,14,32023344,32023440
n-R5s169,Normal,5,5,3561154,3561273
Gm24760,Normal,7,7,59751489,59751582
Gm24059,Normal,6,6,8439353,8439664
Gm25213,Normal,13,13,96357111,96357223
Gm25488,Normal,1,1,161552549,161552666
Gm22320,Normal,10,10,70501192,70501503
Gm26449,Normal,12,12,14878495,14878598
Gm22995,Normal,10,10,13888537,13888643
n-R5s100,Normal,8,8,123538786,123538904
Gm22679,Normal,1,1,29301480,29301579
Mir302c,Normal,3,3,127545363,127545430
Gm22620,Normal,9,9,15315189,15315321
Gm24232,Normal,15,15,69451015,69451146
Mir3102,Normal,7,7,100882306,100882409
Gm50450,Normal,12,12,87437682,87437817
Gm25190,Normal,10,10,116531646,116531740
Gm23441,Normal,3,3,17803621,17803747
Gm23198,Normal,13,13,116675878,116675968
Gm27325,Normal,18,18,43477704,43477777
Gm49348,Normal,6,6,99075911,99076057
Gm23772,Normal,11,11,22846868,22846969
Gm22426,Normal,1,1,105574687,105574782
Mir466m,Normal,2,2,10466663,10466746
Gm23041,Normal,10,10,109368088,109368193
Gm25903,Normal,16,16,36438644,36438746
Mir7001,Normal,2,2,93421929,93422007
Gm25634,Normal,1,1,35761602,35761706
Mir367,Normal,3,3,127545733,127545807
Gm23239,Normal,7,7,77910140,77910320
Gm26435,Normal,9,9,30291868,30291974
Gm22767,Normal,4,4,132838383,132838547
Gm26180,Normal,10,10,89821340,89821446
Gm22910,Normal,6,6,53872017,53872148
Gm24303,Normal,6,6,29150554,29150679
Gm23510,Normal,6,6,97572076,97572238
Gm23500,Normal,3,3,63770212,63770309
Gm24283,Normal,8,8,121830436,121830542
Gm24939,Normal,11,11,59813137,59813273
Gm25197,Normal,13,13,73924585,73924710
Gm25742,Normal,7,7,59550238,59550316
Gm26497,Normal,8,8,122520568,122520674
Gm23824,Normal,11,11,50510902,50511177
Gm23923,Normal,13,13,8955932,8956064
Gm25413,Normal,1,1,97936400,97936711
Gm24566,Normal,7,7,59445503,59445581
Gm25875,Normal,15,15,60084788,60084894
Gm22504,Normal,7,7,105642338,105642476
Gm25823,Normal,7,7,59522156,59522233
Mir3104,Normal,7,7,141992179,141992241
Gm44330,Normal,8,8,83929688,83929830
Gm23459,Normal,14,14,106261123,106261253
n-R5s134,Normal,8,8,123596457,123596575
Gm23545,Normal,15,15,52496885,52496988
Gm23443,Normal,4,4,93545150,93545277
Gm24069,Normal,12,12,39461530,39461656
Mir669m-2,Normal,2,2,10513434,10513531
Gm23191,Normal,10,10,87364040,87364146
Mir3077,Normal,14,14,57798424,57798487
Gm24971,Normal,12,12,54666677,54666786
Gm25663,Normal,1,1,143778928,143779062
Gm22824,Normal,2,2,28608195,28608286
Mir709,Normal,8,8,84086099,84086186
Gm44377,Normal,5,5,51223588,51223674
Gm23853,Normal,8,8,111879304,111879407
Snora68,Normal,8,8,70895759,70895889
Mir678,Normal,10,10,76207326,76207409
Gm22629,Normal,7,7,59585806,59585884
Gm22470,Normal,18,18,17034662,17034791
Gm22330,Normal,13,13,31352980,31353094
Gm24285,Normal,10,10,57174030,57174129
Gm26396,Normal,2,2,94792205,94792336
Gm44337,Normal,2,2,76318482,76318595
Gm25216,Normal,19,19,42699777,42699902
Snord116l9,Normal,7,7,59897161,59897254
Gm24043,Normal,14,14,96444955,96445070
Gm25784,Normal,7,7,40879658,40879738
Gm22046,Normal,7,7,59748956,59749049
Snord82,Normal,1,1,86356261,86356330
Gm23451,Normal,11,11,99017031,99017152
Gm22422,Normal,16,16,56035753,56035887
Gm23995,Normal,5,5,144774425,144774553
Gm25453,Normal,18,18,86349586,86349692
Gm26062,Normal,7,7,18549085,18549191
Gm23559,Normal,7,7,123382669,123382771
Gm24755,Normal,16,16,60369054,60369163
Gm24049,Normal,2,2,27401852,27401951
n-R5s56,Normal,13,13,103396202,103396306
Gm24613,Normal,12,12,31258933,31259062
Gm25320,Normal,5,5,89681916,89682239
Gm25808,Normal,13,13,102228669,102228952
Mir191,Normal,9,9,108568319,108568392
Mir676,Xtype,-1,X,100381097,100381185
Snord14e,Normal,9,9,40804748,40804837
Gm25370,Normal,7,7,142153864,142153957
Gm23664,Normal,10,10,127138529,127138617
Mir7224,Normal,2,2,67675457,67675516
Gm27542,Normal,6,6,17696894,17697149
Snord37,Normal,10,10,81178950,81179013
Il11ra2,Special,-1,JH584293.1,10948,16486
Mir7034,Normal,5,5,135735806,135735889
Mir292b,Normal,7,7,3219198,3219259
Gm22876,Normal,14,14,31836884,31837181
Gm24792,Normal,5,5,83723462,83723589
Gm26217,Normal,7,7,5127632,5127715
Mir1953,Normal,2,2,151967529,151967617
Mir146b,Normal,19,19,46342762,46342870
n-R5s151,Normal,7,7,16471813,16471931
Gm49800,Normal,14,14,19617521,19617710
Gm27717,Normal,16,16,41066426,41066576
Gm10945,Normal,10,10,6740629,6761761
Gm23469,Normal,14,14,48652499,48652602
Gm25979,Normal,10,10,11330489,11330626
Gm25109,Normal,13,13,94517162,94517275
Gm26228,Normal,14,14,33644495,33644601
Gm23801,Normal,5,5,29336780,29336846
Gm25706,Normal,17,17,80196158,80196404
Mir6351,Normal,1,1,73855477,73855575
Mir6952,Normal,15,15,76064828,76064888
Gm25958,Normal,15,15,40186029,40186099
Gm23983,Normal,2,2,121891571,121891684
Gm24817,Normal,1,1,172843534,172843638
4930515G13Rik,Normal,17,17,21801159,21801658
Gm6467,Normal,16,16,21896506,21897116
Gm23389,Normal,1,1,94615636,94615704
Gm23768,Xtype,-1,X,132553714,132553844
Gm25777,Normal,16,16,18240717,18240842
Gm23391,Normal,9,9,104994916,104995019
Mir875,Normal,15,15,35660970,35661047
Gm22714,Normal,19,19,37149085,37149162
Gm23216,Normal,1,1,45685456,45685562
Gm24325,Normal,6,6,48420769,48420842
Gm23669,Normal,14,14,118299990,118300117
Gm24976,Normal,2,2,29459194,29459328
Gm24624,Xtype,-1,X,116345732,116345895
Gm27357,Normal,5,5,112228608,112228742
Mir1962,Normal,7,7,135566162,135566282
Gm23108,Normal,2,2,10484490,10484613
n-R5s28,Normal,17,17,47848834,47848952
Gm23152,Normal,2,2,166655027,166655142
Gm11042,Normal,12,12,74315110,74316394
Mir291b,Normal,7,7,3219482,3219560
Mir6908,Normal,10,10,78445095,78445157
Gm23341,Normal,11,11,60735861,60735957
Gm25859,Normal,2,2,19934863,19934953
Gm17606,Normal,14,14,54640952,54648293
Mir376a,Normal,12,12,109723781,109723848
Gm26295,Normal,16,16,30814162,30814268
Mir137,Normal,3,3,118433857,118433929
Gm25949,Normal,9,9,86699043,86699156
Gm22374,Normal,8,8,129113295,129113426
Gm25440,Normal,18,18,49581696,49581849
Gm22890,Normal,15,15,84323209,84323352
Gm24925,Normal,16,16,50920542,50920648
Gm26393,Normal,11,11,3656663,3656791
Gm26080,Normal,1,1,118453355,118453485
Gm24670,Normal,2,2,19691288,19691419
Mir141,Normal,6,6,124717914,124717985
Mir30a,Normal,1,1,23272269,23272339
Rnu3b4,Normal,11,11,87462286,87462500
n-R5s180,Normal,5,5,149281118,149281223
Gm22826,Normal,3,3,102951949,102952113
Mir204,Normal,19,19,22750605,22750672
Mir124a-3,Normal,2,2,180894040,180894107
AC102264.1,Special,-1,GL456219.1,149261,150163
Gm25136,Normal,6,6,135584192,135584306
Mir6380,Normal,3,3,137783535,137783615
2410024N13Rik,Normal,3,3,103198226,103198975
Gm25735,Normal,7,7,127191027,127191241
Gm24886,Normal,2,2,21794933,21795055
Gm22563,Normal,4,4,51540747,51541015
Gm23516,Xtype,-1,X,15896663,15896769
Gm22272,Normal,19,19,11933495,11933628
Gm25936,Xtype,-1,X,135314316,135314429
Mirlet7a-1,Normal,13,13,48538179,48538272
Gm23517,Normal,15,15,85351063,85351254
Mir434,Normal,12,12,109594506,109594599
Gm26425,Normal,4,4,99909797,99909878
Gm25870,Normal,7,7,59619017,59619095
Mir6917,Normal,10,10,128584437,128584497
Gm23259,Normal,1,1,15879530,15879832
Gm26457,Normal,1,1,63178686,63178720
Gm24470,Xtype,-1,X,82692239,82692370
Gm23268,Normal,5,5,135837295,135837372
Gm44403,Normal,10,10,107480406,107480534
Gm22789,Normal,11,11,12692813,12692942
Poll,Normal,19,19,45552275,45560531
Gm11116,Normal,5,5,88110567,88111530
Gm24787,Normal,15,15,73349799,73349921
Gm27782,Normal,15,15,62080245,62080443
Gm47292,Normal,2,2,30367676,30367771
Gm26179,Normal,6,6,74340950,74341081
Gm23343,Normal,15,15,44948104,44948246
Mir1192,Normal,19,19,23149431,23149551
Gm9985,Normal,10,10,75590142,75590653
Gm21828,Ytype,-1,Y,13223386,13223928
Gm26287,Normal,1,1,59704258,59704338
Gm26379,Normal,4,4,74635214,74635351
n-R5s124,Normal,8,8,123579450,123579568
Rnu1b2,Normal,3,3,96374021,96374185
Gm22672,Normal,16,16,24884173,24884306
Gm22298,Normal,2,2,54100430,54100562
Gm25285,Normal,2,2,10491336,10491425
Gm5705,Normal,1,1,162628357,162629067
AC140325.4,Special,-1,GL456354.1,158543,161339
Gm11099,Normal,2,2,58859434,58907618
Mir6389,Normal,7,7,57581061,57581162
CAAA01118383.1,Special,-1,GL456216.1,15881,36183
Mir20a,Normal,14,14,115044157,115044263
Gm22515,Normal,18,18,40801161,40801465
Gm22623,Normal,10,10,30493942,30494048
Gm24959,Normal,18,18,20844447,20844592
Gm23461,Xtype,-1,X,72611803,72611909
Gm23523,Normal,1,1,170751717,170751823
Gm25178,Normal,6,6,88405977,88406301
Gm25121,Normal,7,7,59364496,59364574
Gm23813,Normal,11,11,49771833,49771909
Gm22135,Normal,19,19,43160795,43160902
Mir704,Normal,6,6,47803576,47803652
Mir425,Normal,9,9,108568777,108568861
Gm24639,Normal,7,7,59443631,59443709
Mir92b,Normal,3,3,89227116,89227198
Mir5615-1,Normal,10,10,81104614,81104673
AC125178.2,Special,-1,JH584298.1,179693,182203
Snora35,Xtype,-1,X,146994381,146994508
Gm25104,Normal,17,17,37267076,37267238
Gm17555,Normal,2,2,126215100,126216212
Gm24593,Normal,3,3,90548619,90548724
Gm25731,Normal,17,17,65509368,65509492
Gm22599,Normal,11,11,58661178,58661309
Gm25433,Normal,9,9,80037429,80037714
Gm26289,Normal,6,6,50539904,50540034
Gm22313,Normal,2,2,97237818,97237946
Gm25279,Normal,1,1,151854823,151854955
Mir140,Normal,8,8,107551244,107551313
Snora52,Normal,7,7,141448803,141448939
Gm25051,Normal,12,12,46832559,46832807
Gm27337,Normal,15,15,102945359,102945427
Gm25151,Normal,1,1,171308047,171308137
Gm6091,Normal,8,8,126476248,126476412
Gm26269,Normal,16,16,31982109,31982234
CAAA01205117.1,Special,-1,GL456385.1,32719,32818
Mir7242,Normal,9,9,67729499,67729577
AC140325.3,Special,-1,GL456354.1,146926,149659
Gm27457,Normal,18,18,42574209,42574364
Gm22562,Normal,17,17,78533903,78534013
Mir30b,Normal,15,15,68337415,68337510
Gm23741,Normal,7,7,4101890,4102060
Gm23364,Normal,6,6,94823733,94823805
Mir466b-8,Normal,2,2,10476628,10476713
Mir6398,Normal,4,4,123616420,123616521
Gm25472,Normal,1,1,85763794,85763871
Rnu3b2,Normal,11,11,87471368,87471583
Gm22013,Normal,13,13,24486662,24486764
Gm22818,Normal,15,15,86212554,86212657
Gm25807,Normal,10,10,129172573,129172877
Mir7k,Normal,5,5,147283189,147283298
Gm27884,Normal,7,7,130527251,130527326
Mir7214,Normal,17,17,27317035,27317095
Gm26119,Normal,18,18,8698253,8698356
Gm23245,Normal,5,5,129789539,129789673
Gm24647,Normal,15,15,91559671,91559783
Gm27975,Normal,7,7,139199196,139199296
Mir504,Xtype,-1,X,59097658,59097736
Gm24517,Normal,1,1,134280885,134280991
Gm23767,Normal,7,7,59708469,59708562
Gm24143,Normal,11,11,72616006,72616150
Gm26025,Normal,11,11,57969342,57969612
Snora74a,Normal,18,18,35557032,35557227
Gm24338,Normal,9,9,101222952,101223078
Gm22613,Normal,2,2,127473017,127473308
Gm22622,Normal,6,6,59705746,59705874
Gm25419,Normal,4,4,55299655,55299845
Gm26404,Normal,3,3,37802544,37802652
Gm24683,Xtype,-1,X,116123900,116123987
Gm26406,Xtype,-1,X,132507131,132507254
Gm26482,Normal,7,7,55702154,55702215
Gm22275,Normal,11,11,53701179,53701488
Gm23214,Normal,3,3,33011958,33012114
Mir1899,Normal,9,9,8246786,8246881
Gm27452,Normal,4,4,80967444,80967539
Gm23431,Normal,7,7,62036631,62036737
Gm23582,Normal,11,11,21249422,21249560
Gm24957,Normal,9,9,112522529,112522660
Gm24305,Normal,12,12,54734555,54734718
Gm25515,Normal,10,10,4104313,4104469
Gm22414,Normal,7,7,18017252,18017352
Gm22990,Normal,11,11,21564561,21564649
Mir30d,Normal,15,15,68341208,68341289
Gm22303,Normal,12,12,16939994,16940115
Mir6344,Normal,1,1,82131916,82132019
Gm22953,Normal,2,2,121450670,121450770
Gm24057,Normal,14,14,31536957,31537258
Gm27985,Normal,6,6,52262592,52262969
Gm24917,Normal,11,11,22868901,22869004
Gm22248,Xtype,-1,X,151384494,151384643
Gm25017,Normal,7,7,59602647,59602725
Gm26015,Normal,12,12,65405846,65405970
Gm22072,Normal,2,2,10465287,10465407
Snord58b,Normal,18,18,75001058,75001123
Gm24251,Normal,1,1,53886828,53886941
Gm27972,Normal,14,14,61648638,61648774
Gm22499,Normal,14,14,18814169,18814303
Mir3620,Xtype,-1,X,150547385,150547445
Mir6406,Normal,11,11,68220892,68221011
Gm23735,Normal,14,14,72131088,72131221
Mir501,Xtype,-1,X,7241243,7241351
Gm24733,Normal,13,13,99040398,99040650
Gm23097,Normal,9,9,6706342,6706446
Mir7063,Normal,7,7,141620701,141620791
Gm23668,Normal,9,9,60042069,60042179
Gm24912,Normal,14,14,20199996,20200112
Gm23985,Xtype,-1,X,113878331,113878454
Gm22481,Normal,16,16,22595029,22595220
Gm23181,Normal,1,1,95039934,95040043
Rnu5g,Normal,9,9,65201726,65201841
Gm25896,Normal,16,16,87418909,87419044
Gm23681,Normal,11,11,20937576,20937701
Gm24607,Normal,4,4,22396570,22396702
Gm22084,Normal,5,5,75372041,75372145
Gm23483,Normal,16,16,5060775,5060882
Gm24534,Normal,2,2,8472094,8472384
Gm25328,Normal,14,14,20701523,20701629
Mir467d,Normal,2,2,10507630,10507714
Gm24153,Normal,7,7,59683586,59683679
Gm27353,Normal,9,9,73005201,73005322
Gm24988,Normal,1,1,160876202,160876322
Gm24651,Normal,16,16,47506319,47506425
Mir743b,Xtype,-1,X,66777256,66777332
Snord70,Normal,1,1,59691934,59692020
Gm22187,Normal,2,2,151059955,151060083
Gm24105,Normal,5,5,149247952,149248244
Mir1906-2,Xtype,-1,X,88759474,88759553
Mir6981,Normal,18,18,37974503,37974617
Mir6925,Normal,11,11,70705990,70706059
Mir5119,Normal,11,11,98262606,98262662
Gm22797,Normal,16,16,71663788,71663918
Gm22605,Normal,4,4,92866475,92866582
Gm25411,Normal,1,1,66436082,66436232
Snord45c,Normal,3,3,153912125,153912204
Mir341,Normal,12,12,109611500,109611595
Gm22353,Normal,15,15,38058285,38058420
Gm24570,Normal,7,7,59572707,59572785
Mir7243,Normal,9,9,102304924,102304975
Gm25650,Normal,10,10,46838346,46838507
Mir6387,Normal,12,12,15800994,15801101
Mir6961,Normal,15,15,100649163,100649229
Snord116l3,Normal,7,7,59892111,59892204
Gm24112,Normal,4,4,40850144,40850226
Mir3100,Normal,7,7,19086828,19086892
Mir680-1,Normal,6,6,129691535,129691643
Gm25757,Normal,3,3,153831170,153831292
Gm24911,Normal,6,6,67804375,67804510
Mir6414,Normal,5,5,41891342,41891423
Gm26342,Normal,1,1,67257224,67257352
Mir465,Xtype,-1,X,66839052,66839125
Gm24449,Normal,12,12,69586153,69586258
Gm23969,Normal,2,2,26911261,26911334
Gm23894,Normal,18,18,43761151,43761463
Mir7223,Normal,11,11,107996848,107996916
Gm22912,Normal,7,7,59612005,59612083
Mir7036b,Normal,5,5,34574151,34574213
Snora33,Normal,10,10,23785347,23785475
Gm23243,Normal,5,5,12940370,12940479
Gm22593,Normal,17,17,94328755,94328863
Mir6975,Normal,17,17,35244075,35244135
Gm24165,Normal,2,2,32831989,32832116
Mir203,Normal,12,12,112130880,112130955
Rn7s6,Normal,6,6,69516339,69516629
Gm23415,Normal,13,13,10592484,10592566
n-R5s105,Normal,8,8,123547265,123547383
Mir3960,Normal,2,2,32712900,32712972
Gm22156,Normal,11,11,12676933,12677073
Gm24079,Normal,5,5,62523408,62523539
Gm25791,Normal,9,9,15314845,15314981
Gm25690,Normal,4,4,141346164,141346240
Gm24419,Normal,4,4,18730217,18730548
Gm24776,Normal,5,5,72971179,72971264
Gm22981,Normal,12,12,109682384,109682458
Gm22927,Normal,11,11,71848076,71848206
Gm25815,Normal,7,7,16953395,16953501
Gm22559,Normal,5,5,64144248,64144381
Gm22673,Normal,12,12,59672990,59673120
Gm26089,Normal,8,8,44601833,44601939
Gm22800,Normal,2,2,118248689,118248782
Gm22507,Normal,10,10,112931424,112931583
n-R5s158,Normal,7,7,128774846,128774963
Gm23090,Normal,4,4,41213776,41213853
Gm24729,Normal,1,1,66305889,66306025
Gm26185,Normal,9,9,106636318,106636583
Gm25924,Normal,7,7,121024360,121024462
Gm26389,Normal,7,7,59432407,59432485
Gm25382,Normal,10,10,17116804,17116900
Mir7084,Normal,9,9,22113944,22114013
Gm24848,Normal,18,18,63584736,63584842
n-R5s77,Normal,10,10,78314165,78314283
Gm26264,Normal,6,6,81638311,81638469
Gm24552,Normal,7,7,91242995,91243097
Gm24031,Normal,14,14,26497655,26497785
Mir6914,Normal,10,10,128382838,128382906
Mir7075,Normal,8,8,107096025,107096106
Gm27579,Normal,4,4,96916945,96917007
Gm24851,Normal,3,3,53843407,53843509
Gm25560,Normal,1,1,175800514,175800689
Gm24617,Normal,18,18,46367365,46367485
Gm44490,Xtype,-1,X,41948832,41948958
Gm24319,Normal,19,19,15680004,15680110
Mir7036,Normal,5,5,137296624,137296688
Gm25449,Normal,7,7,59419323,59419401
Gm24545,Normal,1,1,59626580,59626664
Gm22255,Normal,7,7,59510934,59511012
Gm27610,Normal,17,17,85614662,85614735
Gm25605,Normal,13,13,20844754,20844877
Gm26147,Normal,7,7,118832565,118832678
Terc,Normal,3,3,96414437,96414859
Mir216c,Normal,11,11,28746198,28746266
n-R5s157,Normal,7,7,116625122,116625242
Mir669k,Normal,2,2,10475300,10475426
Gm25918,Normal,5,5,34162324,34162426
Gm26423,Normal,9,9,89158999,89159126
Gm23527,Normal,6,6,116371939,116372068
Gm23627,Normal,8,8,110421361,110421467
Gm23187,Normal,2,2,130277195,130277280
Mir7003,Normal,2,2,163068090,163068155
Gm22923,Normal,16,16,75764322,75764431
Gm23651,Normal,2,2,10482812,10482931
Gm27913,Normal,15,15,62038029,62038201
AF357428,Normal,12,12,109679945,109680013
Gm26339,Normal,19,19,42274964,42275062
Mir743,Xtype,-1,X,66776757,66776818
Gm22204,Normal,8,8,3615529,3615855
Gm24949,Normal,11,11,96032678,96032892
Gm25721,Normal,5,5,103658237,103658407
Gm22977,Normal,16,16,54972431,54972537
Snora47,Normal,13,13,95330600,95330737
Gm22929,Normal,5,5,66164556,66164662
Mir455,Normal,4,4,63256851,63256932
Gm25976,Normal,15,15,20184832,20184961
Gm24650,Normal,4,4,41172742,41172844
Mir6993,Normal,19,19,10191375,10191439
Mir1932,Normal,11,11,119390472,119390561
Gm22911,Normal,10,10,38615375,38615481
Gm25205,Normal,6,6,64413648,64413750
Gm27289,Normal,9,9,96495132,96495213
Mir7672,Normal,14,14,26669547,26669608
Gm22879,Normal,2,2,26912218,26912291
Mir3094,Normal,4,4,40993695,40993758
Gm23385,Xtype,-1,X,50022621,50022915
Gm24363,Normal,4,4,105975575,105975885
Gm26390,Normal,7,7,59484948,59485026
Gm26477,Normal,12,12,90981225,90981547
Mir27a,Normal,8,8,84208672,84208758
n-R5s32,Normal,16,16,30141843,30141945
Gm26414,Normal,7,7,122446858,122447126
Gm22661,Normal,13,13,95332618,95332749
Gm25794,Normal,10,10,79703484,79703590
Gm23069,Normal,6,6,141714781,141715091
Gm26026,Normal,19,19,14718358,14718480
Gm22328,Normal,6,6,99484591,99484702
Gm26438,Normal,18,18,73611516,73611622
Gm25180,Normal,1,1,89563360,89563474
Gm44466,Normal,13,13,21833093,21833230
Gm22003,Normal,12,12,4758547,4758653
Snord49a,Normal,11,11,62603450,62603521
Gm23419,Normal,11,11,120346736,120346819
Gm23520,Normal,11,11,38798171,38798277
Mir467a-6,Normal,2,2,10491048,10491130
Gm22302,Normal,7,7,37824242,37824347
Gm23213,Normal,12,12,61867056,61867368
Gm25759,Normal,7,7,124146281,124146409
Gm25756,Normal,5,5,78779859,78779994
Snord116l6,Normal,7,7,59884499,59884592
Mir3057,Normal,10,10,81271597,81271687
Gm25632,Normal,2,2,32225653,32225737
Gm44453,Normal,9,9,32067171,32067296
Gm23159,Normal,4,4,76958422,76958498
Gm24556,Normal,5,5,147200124,147200253
Gm27881,Normal,1,1,13262198,13262279
Gm23537,Normal,1,1,104485957,104486286
Gm24908,Normal,4,4,14239618,14239744
n-R5s47,Normal,14,14,62869714,62869832
Mir5131,Normal,14,14,45657961,45658053
Gm25803,Normal,4,4,81338274,81338404
Mir5135,Normal,12,12,76533134,76533212
Mir691,Normal,16,16,74341990,74342067
Gm23408,Normal,8,8,91184919,91185183
Gm24682,Normal,5,5,123518231,123518367
Gm25332,Xtype,-1,X,92882451,92882555
Gm24966,Normal,7,7,59344073,59344151
Mir196a-2,Normal,15,15,102973350,102973434
Mir153,Normal,12,12,117250817,117250885
Gm25702,Normal,15,15,63481214,63481276
Gm23790,Normal,10,10,31163526,31163632
Gm27516,Normal,13,13,31626446,31626543
Gm27833,Normal,16,16,96040845,96040968
Mir5617,Xtype,-1,X,20863126,20863182
Gm26011,Normal,6,6,96560761,96560864
Gm25144,Normal,3,3,5885595,5885704
Gm25640,Normal,9,9,64971669,64971793
Gm22078,Normal,3,3,146387742,146387844
Gm22803,Normal,10,10,62919559,62919841
Gm25387,Normal,11,11,27318847,27318978
Gm24186,Normal,10,10,94821529,94821655
Gm22048,Normal,5,5,81735927,81736015
Gm26356,Normal,5,5,25188361,25188643
Gm23190,Normal,12,12,116242504,116242567
Gm22624,Ytype,-1,Y,83812588,83812695
n-R5s154,Normal,7,7,82754872,82754979
Gm23708,Normal,5,5,60717317,60717439
Gm25509,Normal,18,18,72899882,72899987
Gm22393,Normal,7,7,59441762,59441840
Gm23149,Normal,2,2,78550508,78550737
Gm22411,Normal,2,2,127891988,127892113
Gm23127,Normal,13,13,75768068,75768197
Gm23901,Xtype,-1,X,162850158,162850264
Gm24407,Normal,5,5,115490254,115490394
Gm22288,Xtype,-1,X,50405813,50405919
Gm22192,Normal,2,2,32221970,32222054
Gm27393,Normal,11,11,7886444,7886505
Gm24865,Normal,7,7,25828632,25828727
Gm24221,Normal,2,2,148151150,148151462
Gm24856,Normal,11,11,93413218,93413324
Mir7686,Normal,7,7,139957566,139957622
Gm22115,Normal,13,13,8949921,8950053
Mir3099,Normal,7,7,6803587,6803670
Mir466e,Normal,2,2,10479088,10479171
Gm23891,Normal,3,3,47200627,47200764
Gm44391,Normal,8,8,67629014,67629106
Mir3472,Xtype,-1,X,145039344,145039414
n-R5s219,Normal,1,1,149841530,149841661
Snord99,Normal,4,4,132310691,132310764
Gm23917,Normal,7,7,61733685,61733782
Gm24322,Normal,5,5,90796186,90796255
Snord66,Normal,16,16,20684239,20684313
Mir1963,Normal,7,7,29083636,29083694
Gm25220,Normal,2,2,25339651,25339745
Gm24022,Normal,12,12,113424719,113424788
Gm25548,Normal,16,16,35440254,35440363
Mir290a,Normal,7,7,3218626,3218708
Gm27636,Normal,2,2,105123062,105123183
Gm23484,Normal,3,3,69962315,69962445
Gm24246,Normal,18,18,28309760,28309891
Gm25996,Normal,16,16,43797417,43797533
Gm24599,Normal,19,19,11607389,11607438
Gm25462,Normal,7,7,59498041,59498119
Mir7227,Normal,4,4,133717050,133717108
Gm23577,Normal,7,7,4580069,4580178
Mir6396,Normal,8,8,122622265,122622375
Mir297a-2,Normal,2,2,10472254,10472343
Gm22810,Normal,15,15,24820545,24820702
Gm24144,Normal,15,15,8220004,8220114
Gm27867,Normal,6,6,52158432,52158556
Mir759,Normal,14,14,79738431,79738528
Gm26418,Normal,1,1,24548841,24548977
Gm27530,Normal,8,8,121084609,121084706
Mir3080,Normal,15,15,82959218,82959296
Gm24196,Normal,5,5,8203866,8203975
Gm22939,Normal,6,6,43887194,43887324
Mir878,Xtype,-1,X,66801508,66801585
Gm27512,Normal,1,1,63198031,63198156
Mir6931,Normal,11,11,102999848,102999921
Mir7055,Normal,7,7,45173303,45173361
Gm23855,Normal,13,13,62384918,62385052
Gm24967,Normal,4,4,108466944,108467050
Gm22105,Normal,10,10,39749317,39749432
Mir182,Normal,6,6,30165918,30165992
Gm27348,Normal,2,2,40598374,40598543
Mir374c,Xtype,-1,X,103573085,103573133
Gm17661,Normal,2,2,90917643,90917914
Scarna8,Normal,4,4,86586453,86586583
Gm25915,Xtype,-1,X,142485322,142485447
Gm44498,Normal,9,9,18098152,18098262
Gm24930,Normal,19,19,38473120,38473202
Gm24342,Normal,2,2,10509584,10509687
Gm23702,Normal,9,9,34960019,34960148
Gm44491,Normal,18,18,57681814,57681909
Gm24678,Normal,4,4,120903460,120903563
Gm27868,Normal,6,6,52162010,52162111
Mir3971,Normal,11,11,75551429,75551511
Mir3079,Normal,15,15,76290879,76290968
Gm22109,Normal,8,8,123606613,123606731
Gm44378,Xtype,-1,X,85588977,85589059
Mir3967,Normal,2,2,22654283,22654350
Gm22749,Normal,12,12,101223592,101223698
Snora73a,Normal,4,4,132352775,132352979
Gm22323,Normal,19,19,13599660,13599768
Gm22537,Normal,12,12,118753554,118753752
Gm22893,Normal,6,6,85150336,85150451
AC163611.2,Special,-1,JH584299.1,587624,625594
Gm25407,Normal,2,2,157713668,157713801
Gm47313,Normal,3,3,96245826,96245963
Gm23276,Normal,14,14,97336495,97336632
Gm10722,Normal,9,9,3000922,3002330
Mir7088,Normal,9,9,108081498,108081583
Gm27369,Normal,18,18,38594158,38594228
Gm26263,Normal,1,1,77898283,77898446
Mir6339,Normal,2,2,130016292,130016408
Gm22228,Normal,7,7,63585922,63586022
Gm25483,Normal,13,13,12589565,12589791
Snord21,Normal,5,5,107904555,107904648
Gm25306,Normal,5,5,64647633,64647749
Gm25888,Normal,12,12,86809957,86810258
Gm44480,Xtype,-1,X,24969994,24970079
Mir7027,Normal,5,5,114404468,114404539
Gm26371,Normal,15,15,93344684,93344787
Gm24465,Normal,1,1,98049822,98049928
Gm23505,Normal,2,2,51493653,51493782
Gm25810,Normal,16,16,22224244,22224351
Gm23037,Normal,17,17,46403875,46404198
Gm23407,Normal,9,9,55555622,55555712
1700018M17Rik,Normal,4,4,59549154,59549625
Mir151,Normal,15,15,73254815,73254882
Gm25150,Normal,18,18,65907163,65907222
Vmn2r122,Special,-1,JH584292.1,3536,11935
Gm22645,Normal,17,17,25694114,25694220
n-R5s110,Normal,8,8,123555763,123555881
Gm26166,Normal,3,3,58290251,58290357
Gm21800,Ytype,-1,Y,41406498,41407040
Gm26429,Normal,17,17,39460330,39460439
Gm24071,Normal,17,17,48617823,48617954
Gm23171,Normal,5,5,124257763,124258026
Gm22808,Normal,16,16,87621014,87621120
Gm25728,Xtype,-1,X,9532511,9532669
Gm24422,Normal,11,11,48684709,48684827
Gm24653,Normal,7,7,59358890,59358968
Gm22943,Normal,17,17,33729509,33729584
Mir467b,Normal,2,2,10481248,10481320
